step,id,x,y,z,vx,vy,vz,mass
0,1,-11540082278,-31573933795,66151116173,65916745830,5303067844,-67644438722,1.09962E+30
0,2,-63697865754,38139082382,30119941857,53181596502,56250895848,-25436461536,1.6402E+30
0,3,20255228753,41470255851,25934454585,-21105255396,65184749712,-51193178371,1.79526E+30
0,4,9740910455,-3827294106,-56340671220,72521179424,50650700203,-2486874198,1.70382E+30
0,5,59249153699,35672962319,-19151024610,26914410328,78740166305,22399727806,1.91713E+30
0,6,-85311677934,55540966599,-39856243467,-24379724239,-23380291615,18650986302,1.87001E+30
0,7,13615152389,-72350551968,51533520970,-45042622933,-89425629779,-9695967316,1.62297E+30
0,8,-23000451079,26632824372,-89937983789,2918277691,47288121034,11747415839,7.48755E+29
0,9,-29408352819,-28084836283,61548973778,41836939916,-86655553888,-48883276602,5.41524E+29
0,10,-81737027623,-55838606915,-38888841890,11041969899,-77083991969,-86832880574,4.54979E+29
0,11,-47502035169,-81905800948,-55872086859,48394660699,-31374781649,88019637089,1.24564E+30
0,12,11951311536,18083370725,-24264233164,23878175576,-17717508024,-26536891192,1.01198E+30
0,13,49342468163,-84338040694,32101796854,73150979923,-52981791283,24475346518,1.60175E+30
0,14,87239022335,-50465616509,25388388837,-50349021153,-24272990041,6132811945,1.93867E+30
0,15,-21227024797,-74664447169,-81675387469,-9538462750,-69503181727,-21124971811,2.3748E+28
0,16,-57974944269,-36641123550,68716108957,-84201473026,-56530432344,-70737779342,1.25626E+29
